date,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,district
2016-12-01,22.94,1.24,48.87,1.76,30.77,17.0,Chamarajanagar
2016-12-02,22.47,7.82,74.75,2.25,30.61,16.87,Chamarajanagar
2016-12-03,22.52,7.36,83.86,2.55,28.91,18.77,Chamarajanagar
2016-12-04,23.19,0.79,70.16,2.01,30.73,18.66,Chamarajanagar
2016-12-05,23.45,0.08,70.05,1.41,29.98,18.37,Chamarajanagar
2016-12-06,23.05,0.06,61.41,1.71,31.22,17.74,Chamarajanagar
2016-12-07,22.07,0.0,53.73,1.59,30.97,14.97,Chamarajanagar
2016-12-08,23.97,0.0,63.2,0.99,30.82,18.31,Chamarajanagar
2016-12-09,24.27,0.0,55.99,0.95,32.47,18.19,Chamarajanagar
2016-12-10,22.15,0.0,35.19,1.41,32.0,14.37,Chamarajanagar
2016-12-11,20.8,0.0,29.84,1.26,29.79,11.81,Chamarajanagar
2016-12-12,22.16,13.79,49.61,2.17,31.55,15.3,Chamarajanagar
2016-12-13,19.86,19.4,86.08,1.96,24.23,17.07,Chamarajanagar
2016-12-14,22.01,8.66,83.8,1.9,27.71,18.96,Chamarajanagar
2016-12-15,21.56,0.9,75.12,1.9,28.4,17.0,Chamarajanagar
2016-12-16,21.7,0.03,73.25,1.91,29.09,15.54,Chamarajanagar
2016-12-17,22.73,0.0,69.18,1.4,30.06,17.12,Chamarajanagar
2016-12-18,22.25,0.0,65.05,1.38,30.41,16.31,Chamarajanagar
2016-12-19,21.84,0.0,59.06,1.42,30.54,15.92,Chamarajanagar
2016-12-20,22.26,0.0,62.1,1.91,31.07,15.68,Chamarajanagar
2016-12-21,22.6,0.0,66.79,1.45,31.06,16.16,Chamarajanagar
2016-12-22,22.34,0.0,55.65,1.26,31.31,15.41,Chamarajanagar
2016-12-23,22.29,0.0,38.45,1.07,31.3,15.49,Chamarajanagar
2016-12-24,21.11,0.0,44.19,1.21,31.05,13.52,Chamarajanagar
2016-12-25,20.94,0.0,52.16,0.97,30.34,12.18,Chamarajanagar
2016-12-26,21.6,0.0,44.61,1.07,31.21,14.92,Chamarajanagar
2016-12-27,21.64,0.0,54.97,1.72,31.64,14.16,Chamarajanagar
2016-12-28,21.7,0.0,62.76,1.87,31.43,13.95,Chamarajanagar
2016-12-29,21.0,0.0,61.19,1.69,30.88,14.24,Chamarajanagar
2016-12-30,20.15,0.0,59.04,1.71,29.98,13.79,Chamarajanagar
2016-12-31,19.92,0.0,58.6,1.59,30.04,13.07,Chamarajanagar
2017-01-01,20.19,0.0,55.89,1.54,29.64,12.07,Chamarajanagar
2017-01-02,21.01,0.0,61.23,1.22,29.81,13.42,Chamarajanagar
2017-01-03,21.21,0.0,46.89,1.46,30.77,13.61,Chamarajanagar
2017-01-04,21.54,0.0,45.03,1.15,30.99,13.93,Chamarajanagar
2017-01-05,21.34,0.0,51.97,1.28,30.82,13.94,Chamarajanagar
2017-01-06,21.47,0.0,48.62,1.04,30.67,13.52,Chamarajanagar
2017-01-07,21.46,0.0,53.9,0.91,30.75,13.54,Chamarajanagar
2017-01-08,21.25,0.0,53.01,1.37,30.8,13.48,Chamarajanagar
2017-01-09,21.2,0.0,51.45,1.14,30.35,12.91,Chamarajanagar
2017-01-10,22.37,0.0,49.19,0.8,30.76,14.23,Chamarajanagar
2017-01-11,22.14,0.0,51.53,0.99,30.51,15.14,Chamarajanagar
2017-01-12,22.39,0.0,53.97,1.27,30.66,14.78,Chamarajanagar
2017-01-13,22.96,0.0,55.45,1.14,30.62,16.49,Chamarajanagar
2017-01-14,22.24,0.0,57.93,2.09,29.34,16.94,Chamarajanagar
2017-01-15,21.62,0.0,52.86,1.97,30.57,14.4,Chamarajanagar
2017-01-16,21.93,0.0,51.94,1.4,30.63,15.63,Chamarajanagar
2017-01-17,20.87,0.0,44.85,1.7,30.78,13.28,Chamarajanagar
2017-01-18,20.55,0.0,49.86,2.08,30.77,11.85,Chamarajanagar
2017-01-19,20.34,0.0,57.86,2.19,29.93,11.69,Chamarajanagar
2017-01-20,21.68,0.01,54.86,1.96,31.48,12.89,Chamarajanagar
2017-01-21,22.74,2.04,71.66,2.7,30.85,16.56,Chamarajanagar
2017-01-22,23.42,0.05,57.7,2.4,32.03,16.57,Chamarajanagar
2017-01-23,22.16,0.0,46.35,2.42,31.79,13.88,Chamarajanagar
2017-01-24,22.73,0.0,50.37,2.56,32.11,14.34,Chamarajanagar
2017-01-25,22.49,0.0,54.98,2.19,30.96,15.11,Chamarajanagar
2017-01-26,22.93,2.74,65.24,1.99,31.64,15.86,Chamarajanagar
2017-01-27,23.03,6.08,77.32,1.85,28.82,18.82,Chamarajanagar
2017-01-28,23.27,3.05,75.28,2.59,30.39,18.57,Chamarajanagar
2017-01-29,24.03,0.5,62.77,2.16,32.26,17.7,Chamarajanagar
2017-01-30,23.56,0.11,60.94,1.61,32.42,16.45,Chamarajanagar
2017-01-31,23.19,0.0,54.93,1.47,32.9,16.08,Chamarajanagar
2017-02-01,22.02,0.0,44.49,1.66,32.35,13.84,Chamarajanagar
2017-02-02,21.25,0.0,44.75,1.8,31.62,12.26,Chamarajanagar
2017-02-03,21.67,0.0,47.8,1.6,31.65,13.51,Chamarajanagar
2017-02-04,21.89,0.0,47.88,1.92,31.96,14.44,Chamarajanagar
2017-02-05,22.04,0.0,46.06,1.28,32.21,12.99,Chamarajanagar
2017-02-06,22.89,0.0,42.57,1.06,32.53,14.0,Chamarajanagar
2017-02-07,23.11,0.0,37.17,1.28,32.89,14.65,Chamarajanagar
2017-02-08,23.32,0.0,32.9,1.48,33.6,15.02,Chamarajanagar
2017-02-09,23.36,0.0,33.52,1.37,34.0,14.76,Chamarajanagar
2017-02-10,22.83,0.0,41.13,1.45,33.42,13.48,Chamarajanagar
2017-02-11,23.1,0.0,38.45,1.42,33.36,14.66,Chamarajanagar
2017-02-12,22.25,0.0,45.54,2.03,32.06,14.08,Chamarajanagar
2017-02-13,22.18,0.0,52.55,2.66,31.7,14.31,Chamarajanagar
2017-02-14,23.33,0.0,61.54,3.33,32.26,15.13,Chamarajanagar
2017-02-15,23.82,0.0,50.4,2.39,33.47,15.99,Chamarajanagar
2017-02-16,22.39,0.0,44.45,2.69,32.39,13.49,Chamarajanagar
2017-02-17,21.96,0.0,41.79,2.78,32.65,12.35,Chamarajanagar
2017-02-18,22.56,0.0,40.32,2.48,33.17,13.15,Chamarajanagar
2017-02-19,24.23,0.0,35.7,1.47,34.43,15.78,Chamarajanagar
2017-02-20,25.2,0.0,48.31,1.13,34.94,15.97,Chamarajanagar
2017-02-21,26.36,0.0,50.34,1.4,35.41,18.8,Chamarajanagar
2017-02-22,26.79,0.0,35.39,1.35,36.24,19.03,Chamarajanagar
2017-02-23,25.86,0.0,34.67,1.99,35.73,16.63,Chamarajanagar
2017-02-24,26.03,0.0,30.74,2.35,36.5,17.49,Chamarajanagar
2017-02-25,25.73,0.0,31.1,1.98,35.41,17.65,Chamarajanagar
2017-02-26,25.97,0.0,33.39,1.92,34.37,18.51,Chamarajanagar
2017-02-27,24.68,0.0,37.24,2.35,34.16,16.55,Chamarajanagar
2017-02-28,24.88,0.0,30.7,2.23,34.85,16.43,Chamarajanagar
2017-03-01,24.3,0.0,32.05,2.37,34.76,15.19,Chamarajanagar
2017-03-02,24.33,0.0,27.73,2.07,35.18,15.12,Chamarajanagar
2017-03-03,25.25,0.01,39.92,1.96,33.91,15.94,Chamarajanagar
2017-03-04,26.44,0.58,60.24,1.46,33.67,19.82,Chamarajanagar
2017-03-05,25.99,0.65,64.44,1.01,31.82,21.23,Chamarajanagar
2017-03-06,25.53,1.37,68.77,1.48,31.4,21.16,Chamarajanagar
2017-03-07,24.89,5.14,72.83,1.08,29.61,22.05,Chamarajanagar
2017-03-08,25.76,1.76,66.95,0.85,32.27,20.63,Chamarajanagar
2017-03-09,25.75,0.94,65.4,0.89,31.56,21.72,Chamarajanagar
2017-03-10,25.95,5.46,60.5,1.51,33.78,20.05,Chamarajanagar
2017-03-11,26.18,0.05,55.06,1.25,34.61,18.02,Chamarajanagar
2017-03-12,26.26,0.0,50.36,1.38,34.89,17.65,Chamarajanagar
2017-03-13,26.92,3.11,52.97,1.09,35.43,18.55,Chamarajanagar
2017-03-14,24.93,13.46,75.85,1.44,31.06,21.04,Chamarajanagar
2017-03-15,24.73,8.48,73.65,2.1,30.78,20.67,Chamarajanagar
2017-03-16,24.31,2.42,71.34,1.53,30.76,19.96,Chamarajanagar
2017-03-17,25.9,0.36,60.92,0.8,33.04,19.1,Chamarajanagar
2017-03-18,26.86,0.14,60.48,1.41,34.3,19.96,Chamarajanagar
2017-03-19,26.99,0.01,56.14,1.38,35.57,19.6,Chamarajanagar
2017-03-20,26.9,1.18,57.21,1.03,34.84,19.36,Chamarajanagar
2017-03-21,26.57,1.74,62.88,1.31,32.63,21.41,Chamarajanagar
2017-03-22,26.73,0.0,56.26,1.75,33.94,19.86,Chamarajanagar
2017-03-23,26.56,0.0,50.58,1.65,35.38,19.13,Chamarajanagar
2017-03-24,26.21,0.0,42.59,1.91,35.98,18.02,Chamarajanagar
2017-03-25,26.22,0.0,39.05,1.9,36.07,17.72,Chamarajanagar
2017-03-26,26.97,0.0,37.48,2.22,36.93,19.4,Chamarajanagar
2017-03-27,25.82,0.0,37.75,2.41,35.56,17.19,Chamarajanagar
2017-03-28,26.36,0.0,38.38,2.14,35.95,17.6,Chamarajanagar
2017-03-29,27.31,0.0,39.4,1.78,36.68,19.27,Chamarajanagar
2017-03-30,27.43,0.0,37.03,1.64,36.67,20.0,Chamarajanagar
2017-03-31,27.63,0.0,43.07,2.48,36.89,19.59,Chamarajanagar
2017-04-01,28.16,0.0,43.28,1.58,36.67,20.58,Chamarajanagar
2017-04-02,28.95,0.0,43.32,1.4,37.8,21.65,Chamarajanagar
2017-04-03,29.46,0.0,41.29,1.13,37.61,22.1,Chamarajanagar
2017-04-04,29.53,0.74,45.0,1.22,37.57,21.95,Chamarajanagar
2017-04-05,29.11,4.42,54.66,1.25,36.82,21.9,Chamarajanagar
2017-04-06,28.35,4.74,60.7,1.16,34.9,22.67,Chamarajanagar
2017-04-07,28.1,4.12,63.01,1.18,34.84,21.78,Chamarajanagar
2017-04-08,29.33,0.0,48.7,1.67,37.06,21.72,Chamarajanagar
2017-04-09,28.91,0.01,47.97,1.34,35.25,22.49,Chamarajanagar
2017-04-10,29.18,0.48,51.92,1.24,36.85,22.13,Chamarajanagar
2017-04-11,28.75,1.45,57.57,1.62,35.81,22.03,Chamarajanagar
2017-04-12,28.98,0.46,52.01,1.35,36.35,22.84,Chamarajanagar
2017-04-13,29.27,0.49,45.28,1.49,37.24,22.16,Chamarajanagar
2017-04-14,28.61,0.05,45.28,1.31,36.67,22.57,Chamarajanagar
2017-04-15,29.02,0.0,46.4,1.51,37.97,20.52,Chamarajanagar
2017-04-16,29.33,0.91,50.23,1.37,37.76,21.83,Chamarajanagar
2017-04-17,28.09,4.99,58.73,2.04,35.49,22.44,Chamarajanagar
2017-04-18,27.65,0.7,60.53,1.67,35.85,21.19,Chamarajanagar
2017-04-19,28.34,0.96,60.36,2.17,36.67,21.77,Chamarajanagar
2017-04-20,27.93,5.3,63.97,2.29,35.5,22.49,Chamarajanagar
2017-04-21,25.84,12.66,76.39,2.1,31.48,22.19,Chamarajanagar
2017-04-22,26.62,3.47,68.41,1.85,33.01,21.8,Chamarajanagar
2017-04-23,27.97,0.04,61.2,2.05,36.07,21.06,Chamarajanagar
2017-04-24,28.51,0.23,59.11,2.2,36.36,21.49,Chamarajanagar
2017-04-25,28.4,0.82,59.88,1.85,35.93,21.45,Chamarajanagar
2017-04-26,26.79,0.64,67.82,1.1,31.07,22.45,Chamarajanagar
2017-04-27,28.45,0.09,57.81,1.13,35.58,22.36,Chamarajanagar
2017-04-28,28.88,0.08,57.0,1.14,36.63,21.61,Chamarajanagar
2017-04-29,29.32,1.63,53.48,1.0,36.94,22.12,Chamarajanagar
2017-04-30,28.83,1.79,53.71,1.06,36.21,22.21,Chamarajanagar
2017-05-01,27.31,18.78,64.94,0.8,31.89,23.54,Chamarajanagar
2017-05-02,26.73,6.44,65.89,1.1,32.56,21.89,Chamarajanagar
2017-05-03,27.52,0.31,60.59,1.28,34.74,20.36,Chamarajanagar
2017-05-04,28.11,0.17,59.48,1.06,35.42,22.01,Chamarajanagar
2017-05-05,28.96,0.16,59.25,1.05,36.84,21.7,Chamarajanagar
2017-05-06,28.04,0.81,66.0,1.18,34.44,23.27,Chamarajanagar
2017-05-07,26.65,7.71,71.93,1.29,31.73,22.82,Chamarajanagar
2017-05-08,25.92,9.16,67.08,1.04,30.0,22.24,Chamarajanagar
2017-05-09,26.65,1.17,67.45,1.52,33.63,20.17,Chamarajanagar
2017-05-10,26.36,3.39,72.6,1.11,30.42,22.15,Chamarajanagar
2017-05-11,25.53,2.49,73.38,0.7,29.07,22.41,Chamarajanagar
2017-05-12,26.79,1.79,66.29,1.12,32.94,20.54,Chamarajanagar
2017-05-13,28.02,1.9,66.0,0.71,34.49,22.89,Chamarajanagar
2017-05-14,27.7,5.2,67.24,1.92,34.64,22.43,Chamarajanagar
2017-05-15,26.5,0.83,72.38,2.24,31.58,22.04,Chamarajanagar
2017-05-16,27.73,2.71,67.52,1.93,35.45,21.88,Chamarajanagar
2017-05-17,27.3,2.68,69.07,2.43,34.54,22.4,Chamarajanagar
2017-05-18,25.13,20.38,77.08,1.84,29.74,22.2,Chamarajanagar
2017-05-19,23.84,2.72,80.45,2.18,28.57,20.4,Chamarajanagar
2017-05-20,25.12,9.48,78.07,1.95,29.87,21.61,Chamarajanagar
2017-05-21,23.92,11.77,84.22,1.62,26.93,21.87,Chamarajanagar
2017-05-22,24.14,14.46,84.32,1.36,27.38,21.71,Chamarajanagar
2017-05-23,26.45,1.33,72.17,1.36,33.12,20.63,Chamarajanagar
2017-05-24,25.71,5.71,78.03,2.22,30.42,21.98,Chamarajanagar
2017-05-25,24.87,3.61,82.03,2.39,28.57,21.97,Chamarajanagar
2017-05-26,25.69,6.2,77.38,2.39,31.38,21.91,Chamarajanagar
2017-05-27,23.94,19.62,88.25,1.72,26.33,22.07,Chamarajanagar
2017-05-28,24.48,1.9,83.66,2.88,28.47,21.81,Chamarajanagar
2017-05-29,24.72,0.4,79.79,3.49,29.28,21.15,Chamarajanagar
2017-05-30,25.14,0.65,77.27,3.78,31.2,21.21,Chamarajanagar
2017-05-31,24.31,0.34,80.23,3.04,28.95,20.49,Chamarajanagar
2017-06-01,24.47,0.3,75.83,3.06,30.73,20.11,Chamarajanagar
2017-06-02,24.26,4.09,75.13,3.01,30.58,19.74,Chamarajanagar
2017-06-03,23.25,1.85,80.15,3.92,27.86,19.62,Chamarajanagar
2017-06-04,24.72,0.15,77.02,3.2,30.79,20.82,Chamarajanagar
2017-06-05,25.02,1.34,76.57,3.28,30.96,20.81,Chamarajanagar
2017-06-06,24.24,1.25,79.59,2.76,28.3,21.04,Chamarajanagar
2017-06-07,23.88,2.07,71.59,3.1,29.94,19.64,Chamarajanagar
2017-06-08,24.16,0.39,71.04,3.49,30.88,19.44,Chamarajanagar
2017-06-09,23.4,1.4,78.03,3.96,28.25,20.48,Chamarajanagar
2017-06-10,23.45,2.1,77.73,4.46,28.43,20.27,Chamarajanagar
2017-06-11,23.38,1.33,77.88,4.76,28.49,20.39,Chamarajanagar
2017-06-12,23.61,3.04,81.6,3.66,27.47,20.71,Chamarajanagar
2017-06-13,24.85,0.8,78.8,3.03,30.36,20.86,Chamarajanagar
2017-06-14,24.88,0.34,78.98,2.64,29.86,21.38,Chamarajanagar
2017-06-15,24.76,0.16,76.91,3.02,30.02,21.22,Chamarajanagar
2017-06-16,23.86,2.77,80.11,3.1,28.76,20.7,Chamarajanagar
2017-06-17,22.91,0.52,75.46,3.21,27.7,19.42,Chamarajanagar
2017-06-18,24.41,0.21,74.0,2.99,31.79,18.41,Chamarajanagar
2017-06-19,23.82,0.31,73.76,2.85,29.24,20.25,Chamarajanagar
2017-06-20,24.25,1.25,74.16,3.16,31.5,19.41,Chamarajanagar
2017-06-21,23.86,0.6,77.9,3.18,28.97,20.38,Chamarajanagar
2017-06-22,24.66,0.27,75.52,3.46,30.68,20.5,Chamarajanagar
2017-06-23,24.37,1.81,77.54,3.81,28.8,21.37,Chamarajanagar
2017-06-24,23.47,3.19,73.13,4.29,28.0,20.77,Chamarajanagar
2017-06-25,23.8,2.5,78.86,4.01,27.59,20.7,Chamarajanagar
2017-06-26,24.19,2.6,76.86,4.75,27.89,21.77,Chamarajanagar
2017-06-27,23.41,4.17,76.86,4.41,27.06,21.03,Chamarajanagar
2017-06-28,23.08,0.91,75.56,4.48,27.52,19.88,Chamarajanagar
2017-06-29,23.18,0.45,74.02,3.93,28.51,18.67,Chamarajanagar
2017-06-30,23.75,0.61,77.74,2.86,28.69,20.53,Chamarajanagar
2017-07-01,24.55,0.72,75.77,3.18,30.25,20.04,Chamarajanagar
2017-07-02,23.21,1.67,80.96,3.29,26.7,21.03,Chamarajanagar
2017-07-03,23.48,1.59,75.55,3.55,29.6,19.82,Chamarajanagar
2017-07-04,23.88,0.91,73.04,3.74,29.82,19.74,Chamarajanagar
2017-07-05,23.06,1.31,80.12,3.11,28.68,18.9,Chamarajanagar
2017-07-06,24.37,0.85,75.39,3.5,30.37,20.22,Chamarajanagar
2017-07-07,24.5,0.41,74.41,3.31,30.29,20.53,Chamarajanagar
2017-07-08,23.5,0.32,73.89,3.09,28.68,19.6,Chamarajanagar
2017-07-09,23.37,0.58,74.33,2.87,29.22,19.31,Chamarajanagar
2017-07-10,23.95,0.63,76.22,2.79,29.34,19.91,Chamarajanagar
2017-07-11,23.07,0.52,79.61,3.23,26.56,20.2,Chamarajanagar
2017-07-12,24.29,1.15,71.6,3.03,31.94,18.81,Chamarajanagar
2017-07-13,23.75,2.42,73.67,3.83,29.69,19.52,Chamarajanagar
2017-07-14,23.38,0.26,69.89,4.34,29.98,18.71,Chamarajanagar
2017-07-15,23.26,0.53,76.73,3.67,28.61,19.08,Chamarajanagar
2017-07-16,23.85,0.19,74.44,4.36,29.27,19.64,Chamarajanagar
2017-07-17,24.13,0.35,73.61,4.57,29.5,20.32,Chamarajanagar
2017-07-18,23.83,2.33,78.54,4.71,28.21,21.12,Chamarajanagar
2017-07-19,23.12,4.91,81.64,4.81,27.16,20.51,Chamarajanagar
2017-07-20,23.16,2.92,77.61,4.91,27.94,19.86,Chamarajanagar
2017-07-21,23.44,1.03,77.89,4.36,28.96,19.86,Chamarajanagar
2017-07-22,24.03,0.24,76.36,3.69,28.8,20.04,Chamarajanagar
2017-07-23,24.78,0.17,73.32,3.8,31.66,19.44,Chamarajanagar
2017-07-24,24.81,0.23,73.07,4.05,31.09,20.49,Chamarajanagar
2017-07-25,25.18,0.07,71.59,3.8,32.16,20.07,Chamarajanagar
2017-07-26,25.08,0.02,71.24,3.82,31.94,20.2,Chamarajanagar
2017-07-27,24.75,1.5,72.78,4.06,31.98,20.19,Chamarajanagar
2017-07-28,24.76,1.78,74.37,3.83,31.27,20.46,Chamarajanagar
2017-07-29,24.56,3.56,74.29,3.11,30.54,20.19,Chamarajanagar
2017-07-30,25.0,4.39,75.7,2.2,31.8,20.32,Chamarajanagar
2017-07-31,24.09,8.93,79.48,2.19,28.93,20.69,Chamarajanagar
2017-08-01,24.62,4.7,76.13,2.29,31.25,20.34,Chamarajanagar
2017-08-02,24.93,1.17,73.66,3.03,31.75,20.19,Chamarajanagar
2017-08-03,24.05,0.61,76.02,3.88,29.68,20.08,Chamarajanagar
2017-08-04,24.11,1.62,78.42,3.89,28.8,20.86,Chamarajanagar
2017-08-05,24.2,1.99,78.44,3.94,29.61,21.02,Chamarajanagar
2017-08-06,24.49,2.28,77.53,3.45,30.25,20.68,Chamarajanagar
2017-08-07,24.44,0.84,76.7,3.28,29.93,20.4,Chamarajanagar
2017-08-08,24.53,5.7,77.31,2.51,29.91,20.83,Chamarajanagar
2017-08-09,24.21,11.88,79.24,2.2,29.67,20.62,Chamarajanagar
2017-08-10,23.54,3.52,77.26,1.54,29.57,19.18,Chamarajanagar
2017-08-11,22.27,3.73,86.39,2.21,25.49,20.35,Chamarajanagar
2017-08-12,23.11,2.92,81.81,1.81,27.68,19.49,Chamarajanagar
2017-08-13,23.34,0.62,79.01,1.66,28.42,20.01,Chamarajanagar
2017-08-14,23.64,12.74,78.89,0.99,28.24,20.65,Chamarajanagar
2017-08-15,22.97,16.41,84.42,1.03,26.39,20.57,Chamarajanagar
2017-08-16,23.53,7.48,81.6,2.2,27.99,20.18,Chamarajanagar
2017-08-17,23.12,5.81,82.46,2.67,28.24,19.83,Chamarajanagar
2017-08-18,22.86,4.09,82.7,3.21,26.94,19.77,Chamarajanagar
2017-08-19,23.14,3.56,80.19,3.67,27.41,20.26,Chamarajanagar
2017-08-20,22.77,8.31,80.64,3.66,27.23,19.55,Chamarajanagar
2017-08-21,22.96,4.66,80.56,3.49,28.16,19.47,Chamarajanagar
2017-08-22,22.79,1.17,81.76,2.91,27.37,19.44,Chamarajanagar
2017-08-23,23.91,6.62,80.63,2.21,29.79,19.46,Chamarajanagar
2017-08-24,22.88,3.97,82.88,2.2,26.96,19.7,Chamarajanagar
2017-08-25,23.4,1.58,81.04,2.76,28.42,19.77,Chamarajanagar
2017-08-26,23.68,3.92,81.01,3.13,28.72,19.7,Chamarajanagar
2017-08-27,23.52,2.85,79.64,3.61,28.5,20.21,Chamarajanagar
2017-08-28,22.65,3.8,85.95,3.29,26.13,19.56,Chamarajanagar
2017-08-29,23.23,1.39,81.33,4.0,28.01,19.96,Chamarajanagar
2017-08-30,23.72,1.62,79.95,3.3,29.97,19.43,Chamarajanagar
2017-08-31,23.5,4.55,81.85,1.92,28.6,19.59,Chamarajanagar
2017-09-01,24.57,8.64,78.42,1.37,29.29,20.22,Chamarajanagar
2017-09-02,22.29,30.89,90.48,1.87,24.67,20.24,Chamarajanagar
2017-09-03,23.73,6.81,82.25,1.41,28.36,19.74,Chamarajanagar
2017-09-04,23.57,10.06,85.82,1.07,27.37,20.69,Chamarajanagar
2017-09-05,23.75,16.41,85.25,1.37,27.45,20.36,Chamarajanagar
2017-09-06,23.12,19.39,88.16,0.72,25.7,20.91,Chamarajanagar
2017-09-07,23.51,6.43,88.05,1.05,27.23,20.74,Chamarajanagar
2017-09-08,24.03,10.5,84.29,0.92,28.3,20.45,Chamarajanagar
2017-09-09,24.2,12.11,82.18,0.84,28.33,20.4,Chamarajanagar
2017-09-10,24.09,14.08,84.07,1.13,28.02,21.0,Chamarajanagar
2017-09-11,23.99,4.17,85.34,1.7,28.54,20.21,Chamarajanagar
2017-09-12,23.85,4.8,86.05,1.93,28.09,20.83,Chamarajanagar
2017-09-13,23.8,2.02,86.03,1.78,28.25,20.44,Chamarajanagar
2017-09-14,23.6,5.88,87.34,1.18,27.42,20.42,Chamarajanagar
2017-09-15,22.74,0.52,88.48,2.12,26.23,19.84,Chamarajanagar
2017-09-16,22.52,5.67,87.72,2.65,26.25,20.0,Chamarajanagar
2017-09-17,21.38,14.44,86.93,3.53,25.46,19.03,Chamarajanagar
2017-09-18,22.02,2.0,85.7,3.69,25.61,19.75,Chamarajanagar
2017-09-19,22.73,1.38,85.7,4.05,26.99,20.09,Chamarajanagar
2017-09-20,22.19,0.45,84.33,3.52,27.31,19.0,Chamarajanagar
2017-09-21,22.19,0.15,82.7,3.03,27.49,18.37,Chamarajanagar
2017-09-22,22.15,0.04,83.97,1.95,27.32,18.78,Chamarajanagar
2017-09-23,23.7,0.01,80.61,1.12,28.8,18.88,Chamarajanagar
2017-09-24,23.04,6.26,87.69,1.12,25.97,20.24,Chamarajanagar
2017-09-25,22.45,22.01,89.09,1.56,25.59,20.39,Chamarajanagar
2017-09-26,22.36,12.39,88.06,1.54,25.99,19.43,Chamarajanagar
2017-09-27,21.37,21.96,90.95,1.54,24.25,18.93,Chamarajanagar
2017-09-28,21.78,7.05,88.35,2.58,25.91,18.22,Chamarajanagar
2017-09-29,21.65,3.12,88.25,2.28,26.28,17.48,Chamarajanagar
2017-09-30,23.46,0.48,87.64,1.63,28.12,20.17,Chamarajanagar
2017-10-01,23.05,3.53,88.79,1.35,26.47,20.6,Chamarajanagar
2017-10-02,23.38,1.93,88.99,1.14,27.13,20.57,Chamarajanagar
2017-10-03,23.3,1.01,87.7,1.47,26.98,20.67,Chamarajanagar
2017-10-04,23.22,6.06,87.92,0.97,26.48,20.26,Chamarajanagar
2017-10-05,22.97,17.54,89.72,0.82,26.26,20.63,Chamarajanagar
2017-10-06,22.56,12.96,89.66,1.02,26.21,19.97,Chamarajanagar
2017-10-07,23.41,3.74,86.19,0.97,28.08,19.49,Chamarajanagar
2017-10-08,23.42,4.8,88.2,1.13,27.42,20.39,Chamarajanagar
2017-10-09,23.47,4.13,88.2,1.13,27.08,20.42,Chamarajanagar
2017-10-10,22.91,9.47,90.39,1.1,25.92,20.71,Chamarajanagar
2017-10-11,22.78,9.63,88.15,0.93,26.34,20.29,Chamarajanagar
2017-10-12,22.85,7.71,85.2,1.4,27.76,19.26,Chamarajanagar
2017-10-13,22.8,8.66,86.0,1.11,27.14,18.92,Chamarajanagar
2017-10-14,21.86,13.75,88.72,2.15,25.36,18.89,Chamarajanagar
2017-10-15,20.98,1.16,88.13,2.58,25.68,18.27,Chamarajanagar
2017-10-16,21.45,0.73,90.21,1.83,25.35,18.69,Chamarajanagar
2017-10-17,21.34,0.26,87.93,1.21,24.67,18.8,Chamarajanagar
2017-10-18,22.84,0.05,84.0,1.27,27.07,18.94,Chamarajanagar
2017-10-19,22.89,0.01,82.15,0.72,26.44,20.05,Chamarajanagar
2017-10-20,22.93,0.0,86.53,1.42,27.63,19.43,Chamarajanagar
2017-10-21,22.91,0.85,84.8,1.16,27.92,18.27,Chamarajanagar
2017-10-22,22.7,0.04,84.93,1.27,27.58,19.14,Chamarajanagar
2017-10-23,22.15,0.0,74.85,1.13,27.93,17.19,Chamarajanagar
2017-10-24,22.25,0.0,71.52,0.96,28.43,15.61,Chamarajanagar
2017-10-25,22.57,3.89,87.0,1.35,27.11,18.86,Chamarajanagar
2017-10-26,22.6,4.27,86.5,1.31,26.86,19.21,Chamarajanagar
2017-10-27,22.13,6.56,88.35,1.34,26.46,19.3,Chamarajanagar
2017-10-28,21.23,6.52,87.58,1.54,24.62,18.95,Chamarajanagar
2017-10-29,21.82,0.01,83.53,1.72,26.68,18.2,Chamarajanagar
2017-10-30,21.58,0.69,87.38,2.15,26.28,17.38,Chamarajanagar
2017-10-31,21.71,0.61,87.04,1.9,26.2,18.05,Chamarajanagar
2017-11-01,21.96,1.63,87.06,1.68,26.56,18.71,Chamarajanagar
2017-11-02,21.53,1.54,86.77,1.75,26.51,17.82,Chamarajanagar
2017-11-03,20.96,0.36,87.45,1.84,25.93,16.57,Chamarajanagar
2017-11-04,21.1,1.82,88.48,2.11,25.33,17.86,Chamarajanagar
2017-11-05,21.47,2.85,89.18,1.98,25.84,18.02,Chamarajanagar
2017-11-06,21.55,9.27,89.8,2.03,25.83,18.92,Chamarajanagar
2017-11-07,21.49,3.63,88.59,1.52,26.03,18.18,Chamarajanagar
2017-11-08,21.75,4.58,88.53,1.73,26.43,18.36,Chamarajanagar
2017-11-09,21.33,0.37,82.2,1.42,26.65,17.79,Chamarajanagar
2017-11-10,21.0,0.0,81.75,1.51,26.69,15.54,Chamarajanagar
2017-11-11,21.32,0.0,82.96,1.45,26.85,17.46,Chamarajanagar
2017-11-12,20.59,0.0,82.53,1.29,26.25,14.56,Chamarajanagar
2017-11-13,21.85,0.15,80.86,1.09,27.62,15.94,Chamarajanagar
2017-11-14,22.32,0.62,84.73,1.08,27.32,17.99,Chamarajanagar
